日线	000581	威孚高科										
时间	开盘价	最高价	最低价	收盘价	成交量	成交额	MA.MA1	MA.MA2	MA.MA3	MA.MA4	MA.MA5	MA.MA6
20100611	15	15.35000038	14.85000038	15.28999996	87608	13307.23047	14.61800098	14.51099873	14.49300098	14.72333336	17.25333405	14.84728336
20100610	14.60000038	15.11999989	14.47000027	14.98999977	88382	13129.7002	14.44400024	14.46399975	14.43849945	14.76366711	17.27366829	14.83524323
20100609	14.14999962	14.72000027	13.97999954	14.69999981	91677	13144.2002	14.31199932	14.42899895	14.37800026	14.85099983	17.2966671	14.82400322
20100608	14.01000023	14.18000031	13.85999966	14.06000042	40812	5733.5	14.24400043	14.42700005	14.35099983	14.9703331	17.32074928	14.8136425
20100607	14.10000038	14.25	13.97999954	14.05000019	50835	7163.100098	14.27400017	14.55600166	14.37700081	15.1016674	17.35191727	14.80564308
20100604	14.27999973	14.43000031	13.89999962	14.42000008	64822	9122.200195	14.40399933	14.66099834	14.42949867	15.24733448	17.38316727	14.80304337
20100603	14.36999989	14.71000004	14.30000019	14.32999992	60940	8819.900391	14.48399925	14.6619997	14.47149849	15.36166859	17.40550041	14.79964256
20100602	14.21000004	14.61999989	13.98999977	14.35999966	63284	9015.400391	14.54599953	14.67400074	14.54349804	15.46133614	17.43366814	14.79452229
20100601	14.44999981	14.75	13.85999966	14.21000004	50337	7195.100098	14.61000061	14.61100006	14.63049889	15.56533623	17.46225166	14.78756142
20100531	14.68000031	14.85000038	14.31000042	14.69999981	79794	11690.90039	14.8380003	14.53199959	14.73400116	15.71366978	17.48716545	14.7839222
20100528	15.17000008	15.25	14.64999962	14.81999969	104369	15605.7002	14.91799927	14.47500038	14.82950115	15.85000324	17.50341606	14.77832222
20100526	14.69999981	15.05000019	14.42000008	14.64000034	69500	10209.5	14.84000111	14.41299915	14.91350079	15.99433613	17.51000023	14.77304173
20100525	15.36999989	15.61999989	14.60999966	14.68000031	88748	13369.09961	14.80200005	14.32699871	15.06199932	16.13033485	17.52200127	14.76488304
20100524	15.18000031	15.75	15.07999992	15.35000038	90035	13869.2002	14.61199951	14.27499962	15.24199963	16.27266884	17.54125214	14.75444221
20100521	14.19999981	15.17000008	14.02000046	15.10000038	82166	12189.40039	14.22599983	14.19799995	15.37450123	16.40466881	17.54833412	14.74124241
20100520	14.30000019	15.09000015	14.15999985	14.43000031	118002	17413.80078	14.03200054	14.19799805	15.54050159	16.53033638	17.56316566	14.72828197
20100519	13.68000031	14.47999954	13.57999992	14.44999981	90451	12846	13.98600006	14.28100014	15.71150398	16.6950016	17.5830822	14.71908188
20100518	13.42000008	13.76000023	12.89000034	13.72999954	74053	9844.099609	13.85199928	14.41299915	15.85500336	16.87433434	17.59574699	14.70828247
20100517	13.89000034	14.19999981	13.40999985	13.42000008	41842	5810.799805	13.93800068	14.64999962	16.04250145	17.07600021	17.614748	14.70032215
20100514	14.05000019	14.27000046	13.90999985	14.13000011	50591	7125.399902	14.17000008	14.93599987	16.30450058	17.28199959	17.63616562	14.69264221
20100513	13.89000034	14.26000023	13.35999966	14.19999981	77874	10828.90039	14.36400032	15.18400002	16.53750229	17.44433212	17.65325165	14.68152332
20100512	14.06000042	14.18000031	13.31999969	13.77999973	48184	6656.299805	14.57600117	15.41399956	16.78499985	17.60866928	17.66741753	14.66812325
20100511	14.93999958	14.93999958	14.07999992	14.15999985	66892	9739.5	14.97399902	15.79699993	17.03199959	17.7733345	17.6859169	14.65500355
20100510	15.10000038	15.26000023	14.18000031	14.57999992	75211	10960.40039	15.36200142	16.20899963	17.27150154	17.91800117	17.69383621	14.63844395
20100507	15	15.39999962	14.80000019	15.10000038	49536	7452.700195	15.70200062	16.55099869	17.50800133	18.04766655	17.70233345	14.61972332
20100506	15.93000031	15.97000027	15.14999962	15.26000023	73512	11502.7998	16.00399971	16.88299942	17.69650078	18.16200066	17.70566559	14.60124302
20100505	16	16.36000061	15.18000031	15.77000046	99395	15604	16.2519989	17.14200211	17.90200043	18.25833511	17.70916748	14.58332348
20100504	15.90999985	16.71999931	15.81000042	16.10000038	47927	7845.799805	16.61999893	17.29700089	18.10499954	18.34600258	17.70708656	14.56188393
20100430	16.61000061	16.96999931	15.80000019	16.28000069	72285	11761.40039	17.05599976	17.43499947	18.28899956	18.41933632	17.70450211	14.54100323
20100429	16.64999962	17.10000038	16.60000038	16.61000061	63219	10620.2002	17.39999962	17.67300034	18.45499802	18.48833656	17.70308685	14.52108288
20100428	17.29000092	17.62000084	16.39999962	16.5	80535	13630.59961	17.76199913	17.89100075	18.57449913	18.54700089	17.69758224	14.50264168
20100427	18.44000053	18.44000053	16.56999969	17.61000061	107879	18848.69922	18.0320015	18.15600014	18.70600319	18.58366966	17.6859169	14.48344231
20100426	17.96999931	18.79999924	17.92000008	18.28000069	64288	11886.90039	17.97399902	18.2670002	18.76150131	18.58133507	17.66250038	14.46140099
20100423	18.44000053	18.68000031	17.90999985	18	59502	10855.40039	17.81399918	18.33400154	18.77250099	18.56533432	17.63216782	14.43228245
20100422	17.70000076	18.52000046	17.5	18.42000008	76319	13754.2002	17.94599915	18.46500015	18.79600143	18.57166481	17.60300064	14.40184307
20100421	17.27000046	18	16.95000076	17.85000038	97353	16882.40039	18.02000046	18.51000023	18.80150032	18.58966446	17.56650162	14.36816311
20100420	17.47999954	17.87000084	16.79999924	17.31999969	72437	12405.59961	18.28000069	18.66199875	18.81650162	18.62466621	17.534832	14.33556271
20100419	18.5	18.68000031	17.40999985	17.47999954	80102	14376	18.56000137	18.9129982	18.87050247	18.68033028	17.50799751	14.30652237
20100416	18.79000092	18.87000084	18.47999954	18.65999985	34159	6357.700195	18.85400009	19.14299965	18.91150093	18.73366547	17.47766495	14.27644253
20100415	19.10000038	19.23999977	18.70000076	18.79000092	20750	3918.800049	18.98400116	19.23699951	18.89600182	18.73766708	17.43741608	14.24212265
20100414	18.72999954	19.19000053	18.54999924	19.14999962	44088	8361.900391	19	19.25799942	18.875	18.73800087	17.39191437	14.20720196
20100413	19.04999924	19.15999985	18.26000023	18.71999931	41756	7829.100098	19.04400063	19.25600052	18.79750061	18.73266602	17.3421669	14.1711235
20100412	19.37999916	19.43000031	18.80999947	18.95000076	60230	11444.7002	19.26600075	19.25599861	18.73849869	18.74066544	17.29916573	14.13736248
20100409	18.75	19.35000038	18.60000038	19.30999947	54416	10296.5	19.43200111	19.21099854	18.68099976	18.74333382	17.25049973	14.10132217
20100408	19.30999947	19.57999992	18.5	18.87000084	69296	13102.7998	19.49000168	19.1269989	18.62499809	18.71499825	17.20108414	14.06320286
20100407	19.79999924	19.95999908	19.29999924	19.37000084	34829	6836	19.51600075	19.0929985	18.62949753	18.6866684	17.15424919	14.02436256
20100406	19.85000038	20.04999924	19.53000069	19.82999992	48672	9629.700195	19.4679985	18.97100067	18.60599899	18.61200142	17.09658432	13.98288155
20100402	19.68000031	19.95000076	19.60000038	19.78000069	51089	10107.59961	19.24599838	18.82800102	18.56399918	18.53533363	17.0280838	13.94056225
20100401	19	20	18.90999985	19.60000038	85259	16584.30078	18.98999977	18.68000031	18.52900124	18.46266556	16.96008492	13.89744186
20100331	19.14999962	19.27000046	18.97999954	19	18696	3557.399902	18.76399994	18.55500221	18.48800087	18.39133263	16.89900017	13.85296059
20100330	18.86000061	19.20000076	18.60000038	19.12999916	56446	10730.90039	18.67000008	18.49200058	18.47800064	18.32566452	16.84150124	13.81176186
20100329	18.54999924	18.77000046	18.28000069	18.71999931	34873	6476	18.47400093	18.3390007	18.47099876	18.24799728	16.77950096	13.76956272
20100326	18.39999962	18.68000031	18.28000069	18.5	25282	4673.600098	18.40999985	18.22100067	18.48299789	18.16366386	16.7183342	13.72856236
20100325	18.39999962	18.85000038	18.35000038	18.46999931	29451	5484.600098	18.36999893	18.15100098	18.5094986	18.08566475	16.65708351	13.68688202
20100324	18.10000038	18.54999924	18.10000038	18.53000069	20400	3750.399902	18.34600067	18.12299728	18.50899887	18.02266693	16.59225082	13.64428234
20100323	18.40999985	18.53000069	18.10000038	18.14999962	22134	4026.600098	18.31399918	18.16599846	18.48349953	17.9576664	16.53133392	13.60076237
20100322	18.31999969	18.60000038	18.07999992	18.39999962	29952	5480.600098	18.20399857	18.24100113	18.43249893	17.9279995	16.47058296	13.55884361
20100319	18.35000038	18.62999916	18.12999916	18.29999924	26076	4812.399902	18.0320015	18.29999924	18.38899994	17.89533043	16.40916634	13.51552486
20100318	18.39999962	18.79000092	18.23999977	18.35000038	27397	5071.799805	17.93200111	18.37800026	18.35400009	17.8536644	16.34966469	13.47192383
20100317	17.72999954	18.37000084	17.72999954	18.37000084	32274	5838.600098	17.89999962	18.42099953	18.30949974	17.78699684	16.28449821	13.42892361
20100316	17.54999924	17.79000092	17.35000038	17.60000038	13263	2331.5	18.01800156	18.4640007	18.24250031	17.71999741	16.21691513	13.38648319
20100315	17.79999924	18.03000069	17.20000076	17.54000092	30099	5268	18.27800179	18.60300064	18.20249939	17.69333076	16.15816498	13.34736347
20100312	18.34000015	18.34000015	17.68000031	17.79999924	42901	7675.899902	18.56799889	18.74499893	18.13499832	17.67466164	16.09666634	13.3058424
20100311	18.95999908	19.04000092	18.10000038	18.19000053	30493	5627.100098	18.82400131	18.86800003	18.05299759	17.66566277	16.03191566	13.26324177
20100310	18.89999962	19.18000031	18.65999985	18.95999908	48758	9231.799805	18.94199944	18.89499855	17.97249794	17.645998	15.96191502	13.21856213
20100309	19	19.45000076	18.79999924	18.89999962	47869	9154.200195	18.90999985	18.80099869	17.85349655	17.65999794	15.88474941	13.17288303
20100308	19.13999939	19.46999931	18.85000038	18.98999977	52522	10078.5	18.9279995	18.62400055	17.77149773	17.66766357	15.80374813	13.130723
20100305	18.61000061	19.45000076	18.61000061	19.07999992	74888	14432.2998	18.92200089	18.47800064	17.69299889	17.66866493	15.7203331	13.08896255
