166105 信达增利 深证基金   xdzl
201000 R003 深证B股   R003
201001 R007 深证B股   R007
201002 R014 深证B股   R014
201003 R028 深证B股   R028
201004 R091 深证B股   R091
201005 R182 深证B股   R182
201008 R001 深证B股   R001
201009 R002 深证B股   R002
201010 R004 深证B股   R004
202001 RC001 深证B股   RC001
202003 RC003 深证B股   RC003
202007 RC007 深证B股   RC007
203007 0501R007 深证B股   0501R007
203008 0501R028 深证B股   0501R028
203009 0501R091 深证B股   0501R091
203016 0504R007 深证B股   0504R007
203017 0504R028 深证B股   0504R028
203018 0504R091 深证B股   0504R091
203019 0505R007 深证B股   0505R007
203020 0505R028 深证B股   0505R028
203021 0505R091 深证B股   0505R091
203031 0509R007 深证B股   0509R007
203032 0509R028 深证B股   0509R028
203033 0509R091 深证B股   0509R091
203040 0512R007 深证B股   0512R007
203041 0512R028 深证B股   0512R028
203042 0512R091 深证B股   0512R091
203043 0513R007 深证B股   0513R007
203044 0513R028 深证B股   0513R028
203045 0513R091 深证B股   0513R091
203049 0601R007 深证B股   0601R007
203050 0601R028 深证B股   0601R028
203051 0601R091 深证B股   0601R091
203052 0603R007 深证B股   0603R007
203053 0603R028 深证B股   0603R028
203054 0603R091 深证B股   0603R091
204001 GC001 深证B股   GC001
204002 GC002 深证B股   GC002
204003 GC003 深证B股   GC003
204004 GC004 深证B股   GC004
204007 GC007 深证B股   GC007
204014 GC014 深证B股   GC014
204028 GC028 深证B股   GC028
204091 GC091 深证B股   GC091
204182 GC182 深证B股   GC182
500001 基金金泰 上海基金   jjjt
500002 基金泰和 上海基金   jjth
500003 基金安信 上海基金   jjax
500005 基金汉盛 上海基金   jjhs
500006 基金裕阳 上海基金   jjyy
500007 基金景阳 上海基金   jjjy
500008 基金兴华 上海基金   jjxh
500009 基金安顺 上海基金   jjas
500011 基金金鑫 上海基金   jjjx
500015 基金汉兴 上海基金   jjhx
500018 基金兴和 上海基金   jjxh
500029 基金科讯 上海基金   jjkx
500038 基金通乾 上海基金   jjtg
500056 基金科瑞 上海基金   jjkr
500058 基金银丰 上海基金   jjyf
501000 国金鑫新 上海基金   gjxx
501001 财通精选 上海基金   ctjx
501002 能源互联 上海基金   nyhl
501005 精准医疗 上海基金   jzyl
502000 500等权 上海基金   500dq
502001 500等权A 上海基金   500dqA
502002 500等权B 上海基金   500dqB
502003 军工分级 上海基金   jgfj
502004 军工A 上海基金   jgA
502005 军工B 上海基金   jgB
502006 国企改革 上海基金   gqgg
502007 国企改A 上海基金   gqgA
502008 国企改B 上海基金   gqgB
502010 证券分级 上海基金   zqfj
502011 证券A 上海基金   zqA
502012 证券B 上海基金   zqB
502013 一带一路 上海基金   ydyl
502014 一带一A 上海基金   ydyA
502015 一带一B 上海基金   ydyB
502016 带路分级 上海基金   dlfj
502017 带路A 上海基金   dlA
502018 带路B 上海基金   dlB
502020 国金50 上海基金   gj50
502021 国金50A 上海基金   gj50A
502022 国金50B 上海基金   gj50B
502023 钢铁分级 上海基金   gtfj
502024 钢铁A 上海基金   gtA
502025 钢铁B 上海基金   gtB
502026 新丝路 上海基金   xsl
502027 新丝路A 上海基金   xslA
502028 新丝路B 上海基金   xslB
502031 高铁A 上海基金   gtA
502032 高铁B 上海基金   gtB
502036 互联金融 上海基金   hljr
502037 网金A 上海基金   wjA
502038 网金B 上海基金   wjB
502040 上50分级 上海基金   s50fj
502041 上50A 上海基金   s50A
502042 上50B 上海基金   s50B
502048 50分级 上海基金   50fj
502049 上证50A 上海基金   sz50A
502050 上证50B 上海基金   sz50B
502053 券商分级 上海基金   qsfj
502054 券商A 上海基金   qsA
502055 券商B 上海基金   qsB
502056 医疗分级 上海基金   ylfj
502057 医疗A 上海基金   ylA
502058 医疗B 上海基金   ylB
505888 嘉实元和 上海基金   jsyh
510010 治理ETF 上海基金   zlETF
510020 超大ETF 上海基金   cdETF
510030 价值ETF 上海基金   jzETF
510050 50ETF 上海基金   50ETF
510060 央企ETF 上海基金   yqETF
510061 央企申赎 上海基金   yqss
510070 民企ETF 上海基金   mqETF
510090 责任ETF 上海基金   zrETF
510110 周期ETF 上海基金   zqETF
510120 非周ETF 上海基金   fzETF
510130 中盘ETF 上海基金   zpETF
510150 招商上证消费80 上海基金   zsszxf80
510160 小康ETF 上海基金   xkETF
510170 商品ETF 上海基金   spETF
510180 180ETF 上海基金   180ETF
510190 龙头ETF 上海基金   ltETF
510210 综指ETF 上海基金   zzETF
510220 中小ETF 上海基金   zxETF
510230 金融ETF 上海基金   jrETF
510260 新兴ETF 上海基金   xxETF
510270 国企ETF 上海基金   gqETF
510280 成长ETF 上海基金   ccETF
510290 380ETF 上海基金   380ETF
510300 300ETF 上海基金   300ETF
510310 HS300ETF 上海基金   HS300ETF
510330 华夏300 上海基金   hx300
510360 广发300 上海基金   gf300
510410 资源ETF 上海基金   zyETF
510420 180EWETF 上海基金   180EWETF
510430 50等权 上海基金   50dq
510440 500沪市ETF 上海基金   500hsETF
510450 180高ETF 上海基金   180gETF
510500 500ETF 上海基金   500ETF
510510 广发500 上海基金   gf500
510520 诺安500 上海基金   na500
510560 国寿500 上海基金   gs500
510580 ZZ500ETF 上海基金   ZZ500ETF
